ind,cs,w,r2,peak
1,1,0.284082944155578,0.8175049399006,1.1046511627907
1,2,0.315630599538622,0.779454020472867,1.18316831683168
1,3,0.279858149894172,0.81915839087529,1.12138728323699
1,1,0.298091494120719,0.807499055235033,1.15094339622642
1,2,0.320899689910153,0.772512333773842,1.19597989949749
1,3,0.284684291363155,0.822212546993356,1.11046511627907
2,1,0.294555646032531,0.810048259347696,1.14556962025316
2,2,0.398204145572942,0.655553696397537,1.33333333333333
2,3,0.27973767661167,0.822114229473342,1.09356725146199
2,1,0.307598501155213,0.80955480532807,1.11194029850746
2,2,0.360199778385914,0.713477107731008,1.15294117647059
2,3,0.28491166611527,0.823962628959071,1.07333333333333
3,1,0.30014980271136,0.805126706227816,1.14070351758794
3,2,0.348739888507064,0.732913295942807,1.18303571428571
3,3,0.321197479405383,0.78310533907083,1.08928571428571
3,1,0.28901944726325,0.815984042575378,1.12299465240642
3,2,0.336166033252505,0.752377247937833,1.16336633663366
3,3,0.27855183051129,0.830534838907837,1.07246376811594
5,1,0.369032752596452,0.707059324949661,1.26666666666667
5,2,0.394933642166,0.665431736430795,1.31413612565445
5,3,0.353353540632561,0.726828222489761,1.27407407407407
5,1,0.392478463953568,0.68860524187834,1.14465408805031
5,2,0.492528042307683,0.587114303893928,1.19444444444444
5,3,0.388335835667905,0.679907827854411,1.31137724550898
6,1,0.323967669567249,0.772466429353755,1.14367816091954
6,2,0.352489391426938,0.721655362215928,1.26339285714286
6,3,0.324860248641734,0.757272011857825,1.17032967032967
6,1,0.287003147618897,0.811338289034339,1.09467455621302
6,2,0.355998147155729,0.71958070083904,1.27184466019417
6,3,0.346225359178525,0.731129448974677,1.15
8,1,0.403308287026329,0.650203195992663,1.41538461538462
8,2,0.455478336851931,0.596566928711624,1.42583732057416
8,3,0.480809531733309,0.655908044850592,1.20817843866171
8,1,0.376844696056898,0.694493330086507,1.24050632911392
8,2,0.406129554548191,0.667850496194066,1.24137931034483
8,3,0.615533462152431,0.587770854383985,1.2463768115942
10,1,0.359083438037166,0.709164577311876,1.2012987012987
10,2,0.3676706872025,0.708666895612805,1.31182795698925
10,3,0.352730723720628,0.722200936659835,1.19108280254777
10,1,0.408067900536057,0.651503904638929,1.24675324675325
10,2,0.373872530151019,0.695677090687407,1.31603773584906
10,3,0.379121903682091,0.678006068063099,1.25657894736842
11,1,0.42554290330822,0.602675301586819,1.2734375
11,2,0.415274836352709,0.645507841184832,1.33714285714286
11,3,0.472797339323954,0.545947577019655,2.19883040935673
11,1,0.428212134097844,0.59650855261336,1.24285714285714
11,2,0.410516683679847,0.649627041316246,1.42162162162162
11,3,0.61747700654071,0.489696127143834,1.9746192893401
12,1,0.340241219919451,0.736495981999834,1.20606060606061
12,2,0.358534091042477,0.718936375193092,1.22680412371134
12,3,0.309138816509047,0.784970061919703,1.23030303030303
12,1,0.379311636860826,0.676420807523519,1.24683544303797
12,2,0.347025231925692,0.734000225905755,1.21198156682028
12,3,0.320926628768187,0.759307751283118,1.23125
13,1,0.339460155172296,0.739106943924955,1.13333333333333
13,2,0.400370040975883,0.672642420628557,1.3
13,3,0.39023572227394,0.713200648663712,1.33771929824561
13,1,0.307053118248708,0.784194422721168,1.11788617886179
13,2,0.385700886245979,0.687306078469685,1.28113879003559
13,3,0.285810581676358,0.81443187137613,1.10878661087866
14,1,0.299202182733215,0.813089500163745,1.2089552238806
14,2,0.393351928761376,0.664478012897074,1.95512820512821
14,3,0.306145684116214,0.798223694059296,1.65
14,1,0.638783496171975,0.449926294057414,1.62962962962963
14,2,0.620435437272216,0.421373800543612,1.90845070422535
14,3,0.718899178948354,0.396181877367715,1.89115646258503
15,1,0.394181205091433,0.66791040278604,1.376
15,2,0.391485491795189,0.676634592311981,1.7536231884058
15,3,0.340295717859905,0.731886147335288,1.7972972972973
15,1,0.407927380165646,0.648890951079137,1.4527027027027
15,2,0.4507532541644,0.626845518016964,1.75663716814159
15,3,0.365779770584922,0.72703087837395,1.62285714285714
16,1,0.360209208045342,0.719038604688892,1.3448275862069
16,2,0.423882597744426,0.624233580126384,1.65454545454545
16,3,0.404128644050152,0.686214132829001,1.37931034482759
16,1,0.354961196820426,0.72202256529048,1.44943820224719
16,2,0.398699044510091,0.660436578264925,1.63478260869565
16,3,0.356566760741515,0.70625065373914,1.46067415730337
